ds,y
1970-01-01 00:00:52.010,2.20991891323
1970-01-01 00:00:52.020,2.0587541198
1970-01-01 00:00:52.030,2.2679606349
1970-01-01 00:00:52.040,2.03830429106
1970-01-01 00:00:52.050,2.14933262559
1970-01-01 00:00:52.060,1.91027767323
1970-01-01 00:00:52.070,1.99169369374
1970-01-01 00:00:52.080,1.98024529557
1970-01-01 00:00:52.090,1.82573778502
1970-01-01 00:00:52.100,1.78507966744
1970-01-01 00:00:52.110,1.93891597981
1970-01-01 00:00:52.120,1.82007715483
1970-01-01 00:00:52.130,1.39671754657
1970-01-01 00:00:52.140,1.67155634805
1970-01-01 00:00:52.150,1.5969061777
1970-01-01 00:00:52.160,1.58582415023
1970-01-01 00:00:52.170,1.3602383851
1970-01-01 00:00:52.180,1.31152850845
1970-01-01 00:00:52.190,1.23236335583
1970-01-01 00:00:52.200,1.40264405575
1970-01-01 00:00:52.210,1.34844242217
1970-01-01 00:00:52.220,1.17426248448
1970-01-01 00:00:52.230,1.11378275245
1970-01-01 00:00:52.240,1.12947938451
1970-01-01 00:00:52.250,0.94463381475
1970-01-01 00:00:52.260,1.15241413932
1970-01-01 00:00:52.270,0.975365227864
1970-01-01 00:00:52.280,0.814288952489
1970-01-01 00:00:52.290,0.863275499037
1970-01-01 00:00:52.300,0.700505938497
1970-01-01 00:00:52.310,0.986255265522
1970-01-01 00:00:52.320,0.917722581267
1970-01-01 00:00:52.330,0.803532562956
1970-01-01 00:00:52.340,0.738392569347
1970-01-01 00:00:52.350,0.653286813437
1970-01-01 00:00:52.360,0.609831211537
1970-01-01 00:00:52.370,0.57332095711
1970-01-01 00:00:52.380,0.528051439721
1970-01-01 00:00:52.390,0.520564625206
1970-01-01 00:00:52.400,0.489323094289
1970-01-01 00:00:52.410,0.503856908603
1970-01-01 00:00:52.420,0.443263444993
1970-01-01 00:00:52.430,0.363230120572
1970-01-01 00:00:52.440,0.390495505821
1970-01-01 00:00:52.450,0.251460564635
1970-01-01 00:00:52.460,0.482620793866
