timestamp,ftr_vector
158.51000000000082,[2.53152119344]
158.5200000000008,[2.46386571999]
158.5300000000008,[2.36792149545]
158.5400000000008,[2.80819124201]
158.55000000000078,[2.4752350454]
158.56000000000077,[2.53417869018]
158.57000000000076,[3.13586011964]
158.58000000000075,[2.61150405157]
158.59000000000074,[2.86129029268]
158.60000000000073,[2.43047953974]
158.61000000000072,[2.58382090468]
158.62000000000072,[2.66422509841]
158.6300000000007,[2.63090345756]
158.6400000000007,[2.44930797119]
158.6500000000007,[2.93774223284]
158.66000000000068,[2.85799820398]
158.67000000000067,[2.76153506743]
158.68000000000066,[3.23465260381]
158.69000000000065,[2.71574480351]
158.70000000000064,[3.00682953938]
158.71000000000063,[2.85687807326]
158.72000000000062,[2.9489016113]
158.73000000000062,[2.71958782983]
158.7400000000006,[2.62912295699]
158.7500000000006,[2.54797099369]
158.7600000000006,[2.66420319183]
158.77000000000058,[2.76583556223]
158.78000000000057,[2.6999863387]
158.79000000000056,[2.42560742237]
158.80000000000055,[2.5954895605]
158.81000000000054,[2.21798703536]
158.82000000000053,[2.26863885011]
158.83000000000052,[2.24114560725]
158.84000000000052,[2.09532399005]
158.8500000000005,[2.37238463816]
158.8600000000005,[1.80305487372]
158.8700000000005,[2.16635665593]
158.88000000000048,[2.29644576211]
158.89000000000047,[2.13311523699]
158.90000000000046,[2.12394774573]
158.91000000000045,[1.86073943432]
158.92000000000044,[1.80522191778]
158.93000000000043,[1.83331767729]
158.94000000000042,[1.54461621162]
158.95000000000041,[1.69516103231]
158.9600000000004,[1.78421885669]
158.9700000000004,[1.54932490301]
158.9800000000004,[1.84702034044]
158.99000000000038,[1.46503044905]
159.00000000000037,[1.37496834055]
159.01000000000036,[1.52479920585]
159.02000000000035,[1.57330277548]
159.03000000000034,[1.13139414823]
159.04000000000033,[1.14854566137]
159.05000000000032,[1.48579438554]
159.06000000000031,[1.17719141812]
159.0700000000003,[1.09520259842]
159.0800000000003,[0.782300991003]
159.0900000000003,[1.09398682093]
159.10000000000028,[0.917331722462]
159.11000000000027,[1.09247117294]
159.12000000000026,[0.753978751451]
159.13000000000025,[0.614553584155]
159.14000000000024,[0.635663312463]
159.15000000000023,[0.877930646325]
159.16000000000022,[0.509336234403]
159.17000000000021,[0.345031790545]
159.1800000000002,[0.606588170318]
159.1900000000002,[0.953643820895]
159.2000000000002,[0.623204684668]
159.21000000000018,[0.473755289677]
159.22000000000017,[0.464492177598]
159.23000000000016,[0.530297326649]
159.24000000000015,[0.501509832442]
159.25000000000014,[0.0915353879469]
159.26000000000013,[0.124721425995]
159.27000000000012,[0.17134539177]
159.28000000000011,[0.463016341395]
159.2900000000001,[0.272411000146]
159.3000000000001,[0.246041547598]
159.3100000000001,[0.228846815919]
159.32000000000008,[0.327857119145]
159.33000000000007,[0.364264030913]
159.34000000000006,[0.147614230684]
159.35000000000005,[0.0774074497012]
159.36000000000004,[0.294580804741]
159.37000000000003,[0.554158754487]
159.38000000000002,[-0.0260010657865]
159.39000000000001,[-0.230158330389]
159.4,[0.195603477023]
159.41,[0.0843816519653]
159.42,[0.0961210022067]
159.42999999999998,[-0.0547445768408]
159.43999999999997,[0.0460159802867]
159.44999999999996,[0.234831930031]
159.45999999999995,[-0.194284050793]
159.46999999999994,[-0.219745589073]
159.47999999999993,[-0.035896254864]
159.48999999999992,[0.356851837915]
159.49999999999991,[-0.0270128634726]
159.5099999999999,[0.0240449113213]
159.5199999999999,[-0.230532051169]
159.5299999999999,[0.14689301663]
159.53999999999988,[-0.0476676607981]
159.54999999999987,[0.314162461172]
159.55999999999986,[-0.216426164253]
159.56999999999985,[-0.137065853843]
159.57999999999984,[-0.293367383625]
159.58999999999983,[0.00518934285821]
159.59999999999982,[-0.136401836799]
159.60999999999981,[0.0800245018777]
159.6199999999998,[-0.140098165677]
